Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
0,5,5,5,5,5,5,5,5,5,5
1,5,5,5,5,5,7,7,5,5,6
2,6,5,6,5,6,7,8,5,5,6
3,6,7,6,5,6,7,8,5,5,6
4,7,7,6,6,6,7,9,6,7,6
5,7,7,6,7,6,8,9,6,8,6
6,7,7,6,8,6,8,10,10,8,6
7,7,7,9,8,6,8,12,11,9,7
8,9,8,10,8,6,8,12,11,9,7
9,9,8,10,10,6,9,12,12,9,7
10,10,11,10,11,7,9,12,13,9,8
11,10,11,11,11,7,9,12,14,9,8
12,12,11,11,12,7,11,12,15,9,8
13,14,11,11,12,7,11,12,15,10,9
14,14,14,12,12,7,12,13,16,10,9
15,15,14,14,13,7,13,13,17,10,10
16,16,14,16,15,9,15,14,17,11,12
17,16,17,16,15,9,15,15,17,11,13
18,17,18,16,16,9,16,17,17,11,13
19,19,18,16,16,9,16,17,18,13,14
20,19,18,16,16,9,17,17,19,15,14
21,19,18,16,16,10,17,17,19,15,14
22,20,18,17,18,10,17,18,21,17,14
23,20,21,20,18,11,17,19,23,17,14
24,20,21,20,18,13,17,20,25,17,14
25,20,21,21,19,13,18,20,25,17,15
26,21,23,22,19,14,18,21,26,17,15
27,22,23,22,19,14,18,21,26,17,15
28,22,24,23,20,14,19,21,26,17,15
29,23,24,23,21,15,22,21,26,17,16
30,25,24,23,23,17,22,21,26,19,19
31,25,24,23,24,18,22,21,27,19,20
32,25,24,23,25,19,22,21,27,19,20
33,25,24,25,26,19,22,21,27,20,21
34,25,24,26,27,19,22,21,27,23,21
35,25,25,27,27,19,23,21,27,24,22
36,26,27,27,29,20,23,21,27,24,22
37,27,28,29,29,23,23,21,27,24,22
38,27,28,30,30,24,24,23,27,24,22
39,30,28,30,30,25,24,27,30,24,22
40,30,28,31,30,25,28,29,30,24,22
41,31,28,31,32,25,29,29,30,24,23
42,31,28,31,32,25,29,29,30,24,23
43,32,29,31,32,25,29,29,30,25,23
44,32,29,31,33,26,29,29,31,25,23
45,32,29,31,33,26,29,29,31,25,23
46,32,29,31,33,26,29,30,31,27,25
47,32,29,32,33,27,29,30,31,27,26
48,32,29,32,33,27,29,31,31,27,26
49,32,30,32,34,27,29,31,31,28,27
50,34,31,32,34,30,30,31,31,28,28
51,34,31,32,35,32,30,33,31,28,28
52,34,31,32,35,32,31,33,32,28,29
53,34,32,32,35,32,31,34,32,28,29
54,34,32,32,35,32,32,34,32,28,29
55,34,32,32,35,32,32,34,32,29,29
56,34,32,32,35,32,32,34,33,30,32
57,35,32,32,35,32,33,34,33,30,32
58,35,33,34,35,32,33,34,33,30,32
59,35,33,34,35,32,34,34,33,30,32
60,35,34,34,35,32,34,34,33,30,32
61,35,34,34,35,32,34,35,33,31,32
62,35,34,34,35,32,34,35,33,31,32
63,35,35,34,35,32,34,35,33,32,32
64,35,35,34,35,32,34,35,33,33,32
65,35,35,34,35,32,34,35,33,33,32
66,35,35,34,35,33,34,35,33,33,33
67,35,35,34,35,33,34,35,33,33,33
68,35,35,34,35,33,34,35,33,33,33
69,35,35,34,35,33,34,35,33,33,33
70,35,35,34,35,33,34,35,34,35,34
71,35,36,34,35,33,34,35,34,35,34
72,35,36,34,35,34,34,35,35,36,34
73,35,36,34,35,36,34,35,36,36,34
74,35,36,34,35,36,34,35,37,37,34
75,35,36,34,35,36,34,35,37,37,34
76,35,36,34,35,36,34,35,37,37,34
77,35,36,34,35,36,34,35,37,37,34
78,36,36,35,35,37,34,35,37,37,34
79,36,36,35,35,37,34,35,37,37,34
80,36,36,35,35,37,34,35,37,37,34
81,36,36,35,35,37,34,35,37,37,34
82,36,36,35,35,37,35,35,37,37,34
83,36,36,35,35,37,35,35,37,37,34
84,36,36,35,35,37,35,35,37,37,34
85,36,36,35,35,37,35,35,37,37,34
86,36,36,35,35,37,35,36,37,37,34
87,36,36,35,35,37,35,36,37,37,35
88,36,36,35,35,37,36,36,37,37,35
89,36,36,35,35,37,36,36,37,37,35
90,36,36,35,35,37,36,36,37,37,35
91,37,36,36,35,37,36,37,37,37,35
92,37,36,36,35,37,36,37,37,37,35
93,37,36,36,35,37,36,37,37,37,35
94,37,36,36,35,37,36,37,37,37,35
95,37,36,36,36,37,36,37,37,37,35
96,37,36,36,36,37,36,37,37,38,36
97,37,36,36,36,37,36,37,37,38,36
98,37,36,36,36,37,37,37,37,38,36
99,37,36,36,36,37,37,37,37,38,36
100,37,36,36,36,37,37,37,37,38,36
101,37,37,36,36,37,37,37,37,38,36
102,37,37,36,36,37,37,37,37,38,36
103,37,37,36,36,37,38,37,37,38,36
104,37,37,36,36,37,38,38,37,38,36
105,37,37,36,36,37,38,38,37,38,36
106,37,37,36,36,38,38,38,37,38,36
107,37,37,36,36,38,38,38,37,38,36
108,37,37,36,36,38,38,38,37,38,36
109,37,37,36,36,38,38,38,37,38,36
110,37,37,36,36,38,38,38,37,38,36
111,37,37,36,36,38,38,38,37,38,36
112,37,37,36,36,38,38,38,37,38,36
113,37,37,36,36,38,38,38,37,38,36
114,37,37,36,36,38,38,38,37,38,36
115,37,37,36,36,38,38,38,37,38,36
116,37,37,36,36,38,38,38,37,38,36
117,37,37,36,36,38,38,38,37,38,36
118,37,37,36,36,38,38,38,38,38,36
119,37,37,36,37,38,38,38,38,38,36
120,37,37,36,37,38,38,38,38,38,36
121,37,37,36,37,38,38,38,38,38,36
122,37,37,36,37,38,38,38,38,38,36
123,37,37,36,37,38,38,38,38,38,36
124,37,37,36,37,38,38,38,38,38,36
125,37,37,36,37,38,38,38,38,38,36
126,37,37,36,37,38,38,38,38,38,36
127,37,37,36,37,38,38,38,38,38,36
128,37,37,36,37,38,38,38,38,38,36
129,37,37,36,37,38,38,38,38,38,36
130,37,37,36,37,38,38,38,38,38,36
131,37,37,36,37,38,38,38,38,38,36
132,37,37,36,37,38,38,38,38,38,36
133,37,37,36,37,38,38,38,38,38,36
134,37,37,36,37,38,38,38,38,38,36
135,37,37,36,37,38,38,38,38,38,36
136,37,37,36,37,38,38,38,38,38,36
137,37,37,37,37,38,38,38,38,38,36
138,37,38,37,37,38,38,38,38,38,37
139,38,38,37,37,38,38,38,38,38,37
140,38,38,38,37,38,38,38,38,38,37
141,38,38,38,37,38,38,38,38,38,37
142,38,38,38,37,38,38,38,38,38,37
143,38,38,38,38,38,38,38,38,38,37
144,38,38,38,38,38,38,38,38,38,37
145,38,38,38,38,38,38,38,38,38,37
146,38,38,38,38,38,38,38,38,38,37
147,38,38,38,38,38,38,38,38,38,37
148,38,38,38,38,38,38,38,38,38,37
149,38,38,38,38,38,38,38,38,38,37
150,38,38,38,38,38,38,38,38,38,38
151,38,38,38,38,38,38,38,38,38,38
152,38,38,38,38,38,38,38,38,38,38
153,38,38,38,38,38,38,38,38,38,38
154,38,38,38,38,38,38,38,38,38,38
155,38,38,38,38,38,38,38,38,38,38
156,38,38,38,38,38,38,38,38,38,38
157,38,38,38,38,38,38,38,38,38,38
158,38,38,38,38,38,38,38,38,38,38
159,38,38,38,38,38,38,38,38,38,38
160,38,38,38,38,38,38,38,38,38,38
161,38,38,38,38,38,38,38,38,38,38
162,38,38,38,38,38,38,38,38,38,38
163,38,38,38,38,38,38,38,38,38,38
164,38,38,38,38,38,38,38,38,38,38
165,38,38,38,38,38,38,38,38,38,38
166,38,38,38,38,38,38,38,38,38,38
167,38,38,38,38,38,38,38,38,38,38
168,38,38,38,38,38,38,38,38,38,38
169,38,38,38,38,38,38,38,38,38,38
170,38,38,38,38,38,38,38,38,38,38
171,38,38,38,38,38,38,38,38,38,38
172,38,38,38,38,38,38,38,38,38,38
173,38,38,38,38,38,38,38,38,38,38
174,38,38,38,38,38,38,38,38,38,38
175,38,38,38,38,38,38,38,38,38,38
176,38,38,38,38,38,38,38,38,38,38
177,38,38,38,38,38,38,38,38,38,38
178,38,38,38,38,38,38,38,38,38,38
179,38,38,38,38,38,38,38,38,38,38
180,38,38,38,38,38,38,38,38,38,38
181,38,38,38,38,38,38,38,38,38,38
182,38,38,38,38,38,38,38,38,38,38
183,38,38,38,38,38,38,38,38,38,38
184,38,38,38,38,38,38,38,38,38,38
185,38,38,38,38,38,38,38,38,38,38
186,38,38,38,38,38,38,38,38,38,38
187,38,38,38,38,38,38,38,38,38,38
188,38,38,38,38,38,38,38,38,38,38
189,38,38,38,38,38,38,38,38,38,38
190,38,38,38,38,38,38,38,38,38,38
191,38,38,38,38,38,38,38,38,38,38
192,38,38,38,38,38,38,38,38,38,38
193,38,38,38,38,38,38,38,38,38,38
194,38,38,38,38,38,38,38,38,38,38
195,38,38,38,38,38,38,38,38,38,38
196,38,38,38,38,38,38,38,38,38,38
197,38,38,38,38,38,38,38,38,38,38
198,38,38,38,38,38,38,38,38,38,38
199,38,38,38,38,38,38,38,38,38,38
200,38,38,38,38,38,38,38,38,38,38
201,38,38,38,38,38,38,38,38,38,38
202,38,38,38,38,38,38,38,38,38,38
203,38,38,38,38,38,38,38,38,38,38
204,38,38,38,38,38,38,38,38,38,38
205,38,38,38,38,38,38,38,38,38,38
206,38,38,38,38,38,38,38,38,38,38
207,38,38,38,38,38,38,38,38,38,38
208,38,38,38,38,38,38,38,38,38,38
209,38,38,38,38,38,38,38,38,38,38
210,38,38,38,38,38,38,38,38,38,38
211,38,38,38,38,38,38,38,38,38,38
212,38,38,38,38,38,38,38,38,38,38
213,38,38,38,38,38,38,38,38,38,38
214,38,38,38,38,38,38,38,38,38,38
215,38,38,38,38,38,38,38,38,38,38
216,38,38,38,38,38,38,38,38,38,38
217,38,38,38,38,38,38,38,38,38,38
218,38,38,38,38,38,38,38,38,38,38
219,38,38,38,38,38,38,38,38,38,38
220,38,38,38,38,38,38,38,38,38,38
221,38,38,38,38,38,38,38,38,38,38
222,38,38,38,38,38,38,38,38,38,38
223,38,38,38,38,38,38,38,38,38,38
224,38,38,38,38,38,38,38,38,38,38
225,38,38,38,38,38,38,38,38,38,38
226,38,38,38,38,38,38,38,38,38,38
227,38,38,38,38,38,38,38,38,38,38
228,38,38,38,38,38,38,38,38,38,38
229,38,38,38,38,38,38,38,38,38,38
230,38,38,38,38,38,38,38,38,38,38
231,38,38,38,38,38,38,38,38,38,38
232,38,38,38,38,38,38,38,38,38,38
233,38,38,38,38,38,38,38,38,38,38
234,38,38,38,38,38,38,38,38,38,38
235,38,38,38,38,38,38,38,38,38,38
236,38,38,38,38,38,38,38,38,38,38
237,38,38,38,38,38,38,38,38,38,38
238,38,38,38,38,38,38,38,38,38,38
239,38,38,38,38,38,38,38,38,38,38
240,38,38,38,38,38,38,38,38,38,38
241,38,38,38,38,38,38,38,38,38,38
242,38,38,38,38,38,38,38,38,38,38
243,38,38,38,38,38,38,38,38,38,38
244,38,38,38,38,38,38,38,38,38,38
245,38,38,38,38,38,38,38,38,38,38
246,38,38,38,38,38,38,38,38,38,38
247,38,38,38,38,38,38,38,38,38,38
248,38,38,38,38,38,38,38,38,38,38
249,38,38,38,38,38,38,38,38,38,38
250,38,38,38,38,38,38,38,38,38,38
251,38,38,38,38,38,38,38,38,38,38
252,38,38,38,38,38,38,38,38,38,38
253,38,38,38,38,38,38,38,38,38,38
254,38,38,38,38,38,38,38,38,38,38
255,38,38,38,38,38,38,38,38,38,38
256,38,38,38,38,38,38,38,38,38,38
257,38,38,38,38,38,38,38,38,38,38
258,38,38,38,38,38,38,38,38,38,38
259,38,38,38,38,38,38,38,38,38,38
260,38,38,38,38,38,38,38,38,38,38
261,38,38,38,38,38,38,38,38,38,38
262,38,38,38,38,38,38,38,38,38,38
263,38,38,38,38,38,38,38,38,38,38
264,38,38,38,38,38,38,38,38,38,38
265,38,38,38,38,38,38,38,38,38,38
266,38,38,38,38,38,38,38,38,38,38
267,38,38,38,38,38,38,38,38,38,38
